roadLabel,countryLabel,length
N21 road,Burkina Faso,200
N17 road,Burkina Faso,200
N18 road,Burkina Faso,200
N9 road,Guinea,200
Route nationale 32,Madagascar,200
C26 road (Namibia),Namibia,200
Garissa–Nuno–Modogashe–Wajir Road,Kenya,199
C16 road,Namibia,199
Route nationale 8,Madagascar,198
N27 road,Guinea,196
N31 road,Guinea,196
Yaounde - Douala Highway,Cameroon,196
R511 road,South Africa,192
C41 road (Namibia),Namibia,192
R53 road,South Africa,191
National route 18,Mali,191
C36 road (Namibia),Namibia,190
N17 road,Togo,188
Charruba–Timimi Road,Libya,186
Route nationale 7,Cameroon,185
C46 road (Namibia),Namibia,185
RN6,Benin,182
Route nationale 3a,Madagascar,180
B3 road,Namibia,179
RNIE 1,Benin,177
National route 4,Mali,176
N97 road,Algeria,173
Route nationale 11,Madagascar,173
N6 road,Burkina Faso,170
C23 road,Namibia,170
C25 road (Namibia),Namibia,170
Route nationale 17,Cameroon,168
C17 road,Namibia,168
C47 road (Namibia),Namibia,167
C31 road (Namibia),Namibia,166
C33 road,Namibia,165
National Road 9,Democratic Republic of the Congo,164
R52 road,South Africa,162
National route 10,Mali,162
Kabingo–Kasulu–Manyovu–Mugina Road,Tanzania,162
Kabingo–Kasulu–Manyovu–Mugina Road,Burundi,162
N21 road,Guinea,161
Route nationale 25,Madagascar,161
N5 road,Burkina Faso,160
C24 road (Namibia),Namibia,159
National route 3,Mali,158
National route 11,Mali,158
C21 road,Namibia,157
N7 road,Guinea,156
N6,Ghana,155.34
RNIE 4,Benin,155
C29 road (Namibia),Namibia,155
Route nationale 16,Cameroon,152
Route nationale 11a,Madagascar,151
N16 road,Burkina Faso,150
N7 road,Burkina Faso,150
Route nationale 1,Madagascar,149
RN10,Benin,148
R544 road,South Africa,140.9
Arusha–Holili–Taveta–Voi Road,Kenya,140
Route nationale 26,Mali,140
Arusha–Holili–Taveta–Voi Road,Tanzania,140
N22 road,Guinea,135
N18 road,Guinea,134
C37 road,Namibia,134
R51 road,South Africa,133
Route nationale 12,Cameroon,133
Route nationale 43,Madagascar,133
B15 road,Namibia,133
Karuma–Olwiyo–Pakwach–Nebbi–Arua Road,Uganda,133
Route nationale 18,Madagascar,132
N33 road,Guinea,130
Route nationale 31,Madagascar,129
Nyakahita–Kazo–Kamwenge–Fort Portal Road,Uganda,129
Soroti–Katakwi–Moroto–Lokitanyala Road,Uganda,129
C12 road,Namibia,129
National route 9,Mali,126
National Road 42,Democratic Republic of the Congo,126
Kampala–Hoima Road,Uganda,126
National route 13,Mali,125
N8 road,Guinea,125
National route 5,Mali,123
R359 road,South Africa,122
N9 road,Burkina Faso,120
Route nationale 23,Madagascar,120
Juba–Nimule Road,South Sudan,119
Route nationale 36,Madagascar,119
Route nationale 8a,Madagascar,119
Soroti–Amuria–Abim–Kotido Road,Uganda,119
