cityLabel,countryLabel,population
Triolet,Mauritius,21250
Bobonong,Botswana,21216
Obock,Djibouti,21200
Adet,Ethiopia,21117
Welenchiti,Ethiopia,20984
Harhoura,Morocco,20950
Mulanje,Malawi,20870
Bonga,Ethiopia,20858
Debarq,Ethiopia,20839
Ati,Chad,20695
Bozoum,Central African Republic,20665
Bati,Ethiopia,20536
Laï,Chad,20261
Asosa,Ethiopia,20226
"Guérin-Kouka, Dankpen",Togo,20047
Bubanza,Burundi,20031
Berbera,Somaliland,20000
Butare,Rwanda,19937
Mapai,Mozambique,19932
Bichena,Ethiopia,19916
Gebre Guracha,Ethiopia,19872
Mut,Egypt,19616
Otjiwarongo,Namibia,19614
Bedele,Ethiopia,19517
Mao,Chad,19004
Keetmanshoop,Namibia,18900
Triolet,Mauritius,18772
Sébikotane,Senegal,18582
Barentu,Eritrea,18500
Fatick,Senegal,18416
Chinsali,Zambia,18288
Ginchi,Ethiopia,18134
Rwamagana,Rwanda,18009
Torit,South Sudan,17957
Lqliâa,Morocco,17921
Hadero,Ethiopia,17831
New Minya,Egypt,17470
Moroni,Comoros,17267
Marsabit,Kenya,17127
Ksar es-Seghir,Morocco,17125
Ginir,Ethiopia,17102
Ruhango,Rwanda,17051
Lodwar,Kenya,16981
Keetmanshoop,Namibia,16800
Pout,Senegal,16785
Gikongoro,Rwanda,16695
Kédougou,Senegal,16672
Añisok,Equatorial Guinea,16626
Chinde,Mozambique,16500
Bako,Ethiopia,16445
Moussoro,Chad,16349
Gando,Togo,16346
Île Sainte-Marie,Madagascar,16325
El Hiba,Egypt,16209
Kawambwa,Zambia,15953
Centre de Flacq,Mauritius,15791
Mengomeyén,Equatorial Guinea,15644
Shone,Ethiopia,15616
Linguère,Senegal,15482
Haramaya,Ethiopia,15317
Kantè,Togo,15313
kpélé-adéta,Togo,15146
Quthing,Lesotho,15000
Vohemar,Madagascar,15000
Shambu city,Ethiopia,14995
Tadjoura,Djibouti,14820
Ifrano,Morocco,14659
Djanet,Algeria,14655
Goulmima,Morocco,14624
Naivasha,Kenya,14563
Gwanda,Zimbabwe,14450
Togo Wuchale,Ethiopia,14438
Ndioum,Senegal,14341
Maamba,Zambia,14322
Shinshicho,Ethiopia,14285
Laï,Chad,14272
Beilul,Eritrea,14055
Mbini,Equatorial Guinea,14034
Island of Mozambique,Mozambique,14000
Ifrano,Morocco,13964
Mboro,Senegal,13542
Akonibe,Equatorial Guinea,13382
Ras Lanuf,Libya,13300
Siwa Town,Egypt,13202
Ifrano,Morocco,13074
Adi Keyh,Eritrea,13061
Brega,Libya,13000
Kanel,Senegal,12975
Manyinga,Zambia,12760
El-Tor,Egypt,12733
Lüderitz,Namibia,12537
Mariental,Namibia,12478
Ndioum,Senegal,12407
Boumalne Dades,Morocco,12391
Kibuye,Rwanda,12325
Makeni,Sierra Leone,12304
Sendafa,Ethiopia,12298
Rommani,Morocco,12297
Rommani,Morocco,12172
Assomada,Cape Verde,12026
Bissorã,Guinea-Bissau,11964
Polokwane Ext 44,South Africa,11928
Sangalkam,Senegal,11916
Jorf,Morocco,11865
Mboro,Senegal,11809
Bol,Chad,11700
Oued Laou,Morocco,11690
Podor,Senegal,11608
Ghinda,Eritrea,11560
Badou,Togo,11503
Moyamba,Sierra Leone,11485
Kebri Beyah,Ethiopia,11481
Rommani,Morocco,11433
Diofior,Senegal,11312
Edd,Eritrea,11259
Kédougou,Senegal,11216
Ifrano,Morocco,11209
Rommani,Morocco,11117
Ongwediva,Namibia,10964
Dekemhare,Eritrea,10959
Bni Drar,Morocco,10934
Blitta,Togo,10915
Bni Drar,Morocco,10907
Khorixas,Namibia,10906
Diamniadio,Senegal,10898
Pout,Senegal,10763
Fraita,Morocco,10721
Wacha,Ethiopia,10499
Figuig,Morocco,10449
Zavala,Mozambique,10391
Chivhu,Zimbabwe,10263
Kirundo,Burundi,10024
Butha-Buthe,Lesotho,10000
Q121150916,Morocco,9936
Muyinga,Burundi,9609
Pedra Badejo,Cape Verde,9530
Worabe,Ethiopia,9480
Podor,Senegal,9472
Makamba,Burundi,9396
Khorixas,Namibia,9371
Harad,Ethiopia,9359
El Salahaia El Gadeda,Egypt,9350
Tora,Ethiopia,9167
Evinayong,Equatorial Guinea,9155
Tarcha,Ethiopia,9080
Bni Drar,Morocco,8919
Agordat,Eritrea,8857
Mokhotlong,Lesotho,8809
Ras El Bar,Egypt,8635
Nefasit,Eritrea,8600
Gimbichu,Ethiopia,8556
Evinayong,Equatorial Guinea,8462
Diofior,Senegal,8388
Ras El Ma,Algeria,8193
São Filipe,Cape Verde,8122
Bare,Ethiopia,8117
Djarkpanga,Togo,8113
Ingoré,Guinea-Bissau,8107
Evinayong,Equatorial Guinea,7997
Buba,Guinea-Bissau,7898
Mhlume,Eswatini,7761
Luba,Equatorial Guinea,7739
Ras el Ma,Morocco,7527
Podor,Senegal,7469
Mansôa,Guinea-Bissau,7376
Lekoni,Gabon,7330
Pout,Senegal,7314
Mogolico,Equatorial Guinea,7251
Mitsamiouli,Comoros,7235
Mobaye,Central African Republic,7176
Ruyigi,Burundi,7139
Ghafsai,Morocco,7117
Thyolo,Malawi,7029
Bui,Ethiopia,6966
Hola,Kenya,6931
Bandjoun,Cameroon,6872
Senafe,Eritrea,6831
Baboua,Central African Republic,6812
Khorixas,Namibia,6796
Masha,Ethiopia,6787
Shalateen,Egypt,6731
Bni Drar,Morocco,6663
Trindade,São Tomé and Príncipe,6636
Endibir,Ethiopia,6488
Zouar,Chad,6432
Siteki,Eswatini,6381
Ghafsai,Morocco,6361
Sal Rei,Cape Verde,6357
Tarrafal,Cape Verde,6272
Espargos,Cape Verde,6173
Port Mathurin,Mauritius,5929
Rutana,Burundi,5865
Micomiseng,Equatorial Guinea,5813
Lobamba,Eswatini,5800
Cacheu,Guinea-Bissau,5674
Ajdir,Morocco,5630
Ghafsai,Morocco,5492
Muramvya,Burundi,5458
Thaba-Tseka,Lesotho,5423
Mupandawana,Zimbabwe,5409
Bidjabidjan,Equatorial Guinea,5167
Catió,Guinea-Bissau,5081
Cap Malheureux,Mauritius,5070
San Antonio de Palé,Equatorial Guinea,5008
Mitzic,Gabon,4926
Oussouye,Senegal,4828
Dembéni,Comoros,4723
Chavuma,Zambia,4652
Touissit,Morocco,4638
Kogo,Equatorial Guinea,4607
Outapi,Namibia,4606
Bubaque,Guinea-Bissau,4484
Bururi,Burundi,4478
Chibombo,Zambia,4310
Meraro,Ethiopia,4307
Noubarya,Egypt,4280
Ndioum,Senegal,4276
Ghafsai,Morocco,4255
Souillac,Mauritius,4154
Calheta de São Miguel,Cape Verde,4123
Oussouye,Senegal,4052
Bakoumba,Gabon,4045
Babri,Burkina Faso,3991
Ndioum,Senegal,3924
Oranjemund,Namibia,3900
Baris,Egypt,3890
Balat,Egypt,3794
Teseney,Eritrea,3753
Massenya,Chad,3680
Turki,Tunisia,3661
Cankuzo,Burundi,3624
Farafra Town,Egypt,3470
Touissit,Morocco,3429
Ovan,Gabon,3382
Evinayong,Equatorial Guinea,3170
Touissit,Morocco,3137
Touissit,Morocco,3066
Porto Inglês,Cape Verde,3056
New Qena,Egypt,3000
Ribeira Grande,Cape Verde,2950
Nuweiba,Egypt,2898
Aliyu Amba,Ethiopia,2873
São Domingos,Cape Verde,2818
Saraya,Senegal,2726
Zula,Eritrea,2612
El Alamein,Egypt,2413
Baala,Guinea,2404
Mwaro,Burundi,2403
Ankober,Ethiopia,2288
Dembo,Cameroon,2284
Nsang,Equatorial Guinea,2122
Ciudad de la Paz,Equatorial Guinea,2000
Naema,Morocco,1641
Obour City,Egypt,1436
Cova Figueira,Cape Verde,1370
Pombas,Cape Verde,1184
Naema,Morocco,1151
Ndindi,Gabon,1110
Naema,Morocco,1088
Nova Sintra,Cape Verde,1049
Naema,Morocco,1019
Taba,Egypt,800
Jamestown,"Saint Helena, Ascension and Tristan da Cunha",714
Jaheyna City,Egypt,209.26
Zliten,Libya,200
