cityLabel,countryLabel,population
Shibin Al Kawm,Egypt,267945
Aswan,Egypt,267913
Maradi,Niger,267249
Porto-Novo,Benin,267191
Kütahya,Ottoman Empire,266784
Djelfa,Algeria,265833
Antsirabe,Madagascar,265018
Porto-Novo,Benin,264320
Berbera,Somaliland,263000
Misrata,Libya,259056
Saint-Louis,Senegal,258592
Annaba,Algeria,257359
Bloemfontein,South Africa,256185
Moçâmedes,Angola,255000
Chingola,Zambia,255000
Tanta,Egypt,253600
Bata,Equatorial Guinea,250770
10th of Ramadan City,Egypt,250000
Al Bayda,Libya,250000
Goma Nord Kivu,Democratic Republic of the Congo,249862
Damanhur,Egypt,244043
Bahir Dar,Ethiopia,243300
Kahama,Tanzania,242208
Al Mokattam,Egypt,242009
Man,Ivory Coast,241969
Chimoio,Mozambique,238976
Saint-Louis,Senegal,237563
El Jadida,Morocco,237464
Minya,Egypt,236043
Iseyin,Nigeria,236000
Gaborone,Botswana,235884
Zinder,Niger,235605
Kasulu,Tanzania,234452
Bo,Sierra Leone,233684
Merca,Somalia,230100
Toamasina,Madagascar,225116
Tanga,Tanzania,224891
Mutare,Zimbabwe,224804
Keur Massar Nord,Senegal,224765
Porto-Novo,Benin,223552
Owo,Nigeria,222262
Guéckédougou,Guinea,221715
Tanga,Tanzania,221127
Rufisque,Senegal,221066
Duékoué,Ivory Coast,220953
Butembo,Democratic Republic of the Congo,217625
Hurghada,Egypt,214247
Bouaflé,Ivory Coast,213967
Sodo,Ethiopia,213467
Sidi Bel Abbès,Algeria,212935
Mallawi,Egypt,212628
Ait Melloul,Morocco,210870
Saint-Louis,Senegal,209752
Gondar,Ethiopia,207044
Morogoro,Tanzania,207000
Damietta,Egypt,206664
Ziguinchor,Senegal,205294
Mbuji-Mayi,Democratic Republic of the Congo,204923
Biskra,Algeria,204661
Bingerville,Ivory Coast,204656
Yeumbeul Nord,Senegal,204375
Tamale,Ghana,202317
Luxor,Egypt,202232
Maroua,Cameroon,201371
Qena,Egypt,201191
Bouskoura,Morocco,200359
Tanga,Tanzania,200000
Tébessa,Algeria,194461
Mohammedia,Morocco,194358
اسيوط,Egypt,193931
Beni Suef,Egypt,193048
Blida,Algeria,191000
Ngaoundéré,Cameroon,189800
Kenema,Sierra Leone,188463
Dessie,Ethiopia,187900
Gharyan,Libya,187854
Lomé,Togo,186000
Moshi,Tanzania,184292
Siguiri,Guinea,183875
Mufulira,Zambia,182400
Calabar,Nigeria,179392
Porto-Novo,Benin,179138
Tiaret,Algeria,178915
Jimma,Ethiopia,177900
Dundo,Angola,177604
Gulu,Uganda,177400
Livingstone,Zambia,177393
Béjaïa,Algeria,176139
Saint-Louis,Senegal,176000
Tlemcen,Algeria,173531
Tlemcen,Algeria,173500
Bertoua,Cameroon,173000
Tanga,Tanzania,172557
Kindu,Democratic Republic of the Congo,172321
Kaolack,Senegal,172305
Settat,Morocco,171556
Guiglo,Ivory Coast,171454
Makurdi,Nigeria,170925
New Borg El Arab,Egypt,170000
Lakota,Ivory Coast,169330
Berrechid,Morocco,168687
Yeumbeul Nord,Senegal,168379
Bordj Bou Arréridj,Algeria,168346
Kismayo,Somalia,166667
Béchar,Algeria,165627
Singida,Tanzania,165492
Dakhla,Morocco,165463
Dakhla,Western Sahara,165463
Arish,Egypt,164830
Abengourou,Ivory Coast,164424
Blida,Algeria,163586
Skikda,Algeria,163318
Blida,Algeria,162000
Nador,Morocco,161726
N'dalatando,Angola,161584
Ferkessédougou,Ivory Coast,160267
Koudougou,Burkina Faso,160207
Praia,Cape Verde,159050
Djelfa,Algeria,158679
Nador,Morocco,158202
Kasama,Zambia,158051
Benha,Egypt,157701
Adzopé,Ivory Coast,156488
Chlef,Algeria,155134
Butembo,Democratic Republic of the Congo,154621
Saint-Louis,Senegal,154555
Méagui,Ivory Coast,153483
Ziguinchor,Senegal,153269
Dutse,Nigeria,153000
Tete,Mozambique,152909
Praia,Cape Verde,151346
Mzuzu,Malawi,150100
Asaba,Nigeria,149603
Port Louis,Mauritius,149194
Mongu,Zambia,148972
Potchefstroom,South Africa,148804
Taza,Morocco,148406
M'banza-Kongo,Angola,148000
Sumbawanga,Tanzania,147483
Malakal,South Sudan,147450
Luanshya,Zambia,147400
Kafr el-Sheikh,Egypt,147393
City of Francistown,Botswana,147122
Kalemie,Democratic Republic of the Congo,146974
Keren,Eritrea,146500
Tlemcen,Algeria,146000
Mostaganem,Algeria,145696
Kumba,Cameroon,144268
Desouk,Egypt,143404
Touggourt,Algeria,143270
Bizerte,Tunisia,142966
Moundou,Chad,142462
Lichinga,Mozambique,142253
Chililabombwe,Zambia,141899
Chipata (Fort Jameson),Zambia,141800
Bondoukou,Ivory Coast,141568
Pemba,Mozambique,141316
Belbis,Egypt,141285
Gweru,Zimbabwe,141260
Atbarah,Sudan,139768
Médéa,Algeria,138355
Dabou,Ivory Coast,138083
Tanga,Tanzania,137364
Sinfra,Ivory Coast,137210
Porto Amboim,Angola,137000
Livingstone,Zambia,136897
Port-Gentil,Gabon,136462
Tamale,Ghana,135952
Tobruk,Libya,135832
Gitega,Burundi,135467
Nkongsamba,Cameroon,135405
Kigoma,Tanzania,135234
Agboville,Ivory Coast,135082
Ruhengeri,Rwanda,135000
El Oued,Algeria,134699
Edfu,Egypt,133772
Larache,Morocco,133731
Ségou,Mali,133501
Porto-Novo,Benin,133168
Ouargla,Algeria,133024
Vavoua,Ivory Coast,132528
Blida,Algeria,131600
Danané,Ivory Coast,131586
Khemisset,Morocco,131542
Buea,Cameroon,131325
Harar,Ethiopia,129000
